Mozambique;18,292;777,123;44;402;42;78;78;141
Myanmar;47,749;669,31;49;284;165;90;64;142
Namibia;1,757;819,964;90;102;18;24;34;143
Nauru;12;18;4;1;12;1;1;144
Nepal;23,043;139,087;43;75;302;41;45;145
Netherland Antilles;215;818;3;71;2;4;1;146
Netherlands;15,864;41,364;9;469;33;87;230;147
New Caledonia;215;18,837;52;7;31;3;10;148
New Zealand;3,778;265,334;27;371;10;51;113;149
Nicaragua;5,071;118,279;29;144;37;32;40;150
Niger;10,832;1,157,232;95;129;76;36;40;151
Nigeria;113,862;904,235;41;538;231;167;138;152
Niue;2;267;16;1;2;0;--;153
Norfolk Island;--;40;4;3;1;0;--;154
Northern Mariana Islands;73;466;3;72;1;1;13;155
Norway;4,469;318,524;27;434;10;74;305;156
Occupied Palestinian Territory;3,191;6,006;19;16;199;20;226;157
Oman;2,538;304,19;134;60;37;13;25;158
Pakistan;141,256;785,32;87;104;1,309;354;202;159
Palau;19;463;8;7;3;3;2;160
Panama;2,856;74,515;33;67;41;23;40;161
Papua New Guinea;4,809;464,043;152;20;241;23;33;162
Paraguay;5,496;395,886;41;236;21;20;37;163
Peru;25,662;1,289,475;27;1,8;13;171;644;164
Philippines;75,653;295,408;14;1,541;49;134;130;165
Pitcairn;0;41;6;1;0;0;--;166
Poland;38,605;311,195;11;2,489;16;263;226;167
Portugal;10,016;91,421;5;4,228;2;68;460;168
Puerto Rico;3,915;8,985;11;78;51;1;216;169
Qatar;565;10,973;35;9;70;2;10;170
Republic of Moldova;4,295;34,012;26;49;88;40;26;171
Reunion;721;2,548;50;1;719;4;24;172
Romania;22,438;237,057;9;2,935;7;308;864;173
Russia;145,491;16,679,998;82;2,486;55;558;704;174
Rwanda;7,609;24,349;13;142;55;16;16;175
Saint Helena;6;127;7;3;2;0;1;176
Saint Kitts and Nevis;38;277;12;2;19;2;4;177
Saint Lucia;148;620;25;1;148;3;9;178
Saint Pierre and Miquelon;7;227;9;3;2;0;1;179
Saint Vincent;113;453;21;1;113;1;6;180
San Marino;27;62;8;1;26;1;4;181
Sao Tome and Principe;138;1,008;22;2;72;3;11;182
Saudi Arabia;20,346;1,938,837;386;13;1,604;50;47;183
Senegal;9,421;196,151;46;93;107;38;37;184
Serbia and Montenegro;10,552;101,561;159;4;2,658;70;62;185
Seychelles;80;196;10;2;40;1;4;186
Sierra Leone;4,405;72,616;22;147;31;24;76;187
Singapore;4,018;597;9;8;488;8;1;188
Slovakia;5,399;48,875;4;2,919;2;66;137;189
Slovenia;1,988;20,224;2;5,989;0;29;116;190
Solomon Islands;447;28,707;54;10;42;1;4;191
Somalia;8,778;634,315;93;74;110;10;8;192
South Africa;43,309;1,217,645;0;83,125;1;345;310;193
Spain;39,91;505,275;8;8,186;5;181;737;194
Sri Lanka;18,924;65,83;16;242;75;47;55;195
Sudan;31,095;2,492,385;171;85;358;73;71;196
Suriname;417;141,133;119;10;45;4;15;197
Svalbard;--;60,543;246;1;2;0;1;198
Swaziland;925;17,41;66;4;247;5;15;199
Sweden;8,842;431,704;39;288;31;127;558;200
Switzerland;7,17;38,975;4;2,912;2;62;341;201
Syrian Arab Republic;16,189;184,366;119;13;1,241;58;36;202
Taiwan;--;36,223;42;21;1,03;10;89;203
Tajikistan;6,087;130,295;47;60;99;26;26;204
Thailand;62,806;513,618;26;792;77;214;167;205
Togo;4,527;57,277;52;21;216;34;43;206
Tokelau;1;15;0;3;0;0;--;207
Tonga;99;664;13;4;25;1;8;208
Trinidad and Tobago;1,294;5,202;13;30;41;3;21;209
Tunisia;9,459;147,882;80;23;416;64;114;210
Turkey;66,668;768,69;98;80;848;364;417;211
Turkmenistan;4,737;460,254;98;48;86;13;14;212
Turks and Caicos Islands;17;548;23;1;17;1;2;213
Tuvalu;10;32;2;9;1;0;--;214
Uganda;23,3;206,968;7;4,122;5;25;68;215
Ukraine;49,568;588,417;31;622;77;147;102;216
United Arab Emirates;2,606;74,777;97;8;399;11;9;217
United Kingdom;59,415;247,193;11;2,143;27;154;447;218
United Rep. of Tanzania;35,119;891,021;99;90;362;58;56;219
United States Virgin Islands;121;374;3;32;3;3;8;220
United States of America;283,23;9,210,755;12;60,884;5;2,103;14,462;221
Uruguay;3,337;173,985;96;19;171;40;106;222
Uzbekistan;24,881;412,914;45;208;118;94;83;223
Vanuatu;197;12,274;45;6;27;3;2;224
Venezuela;24,17;911,559;53;324;70;76;591;225
Viet Nam;78,137;328,535;6;10,476;7;119;55;226
Wallis and Futuna;14;176;9;2;7;0;2;227
Western Samoa;159;2,888;31;3;58;2;20;228
Yemen;18,349;415,196;43;227;77;43;33;229
Zambia;10,421;745,317;114;57;173;38;44;230
Zimbabwe;12,627;389,055;82;58;196;25;27;231
;;;;;;;;232
